CSGroup,Profit Ratio,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Quantity,Region,SC group,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category (group) 2,Sub-Category (group) 3,Sub-Category (group) 4,Sub-Category (group) 5,Sub-Category (group) 6,Sub-Category (group),Sub-Category
Rest,8.0,Technology,Los Angeles,United States,Brosina Hoffman,20.0,1,2015-06-09,CA-2015-115812,90032.0,Other,Konftel 250 Conference phone - Charcoal black,68.0,4,West,Phones,911.0,Consumer,2015-06-14,Standard Class,California,High Profits,Profits,Profits,Phones,Phones,Rest,Phones
Rest,35.0,Office Supplies,Concord,United States,Andrew Allen,20.0,1,2018-04-15,CA-2018-114412,28027.0,Xerox,Xerox 1967,5.0,3,South,Paper,16.0,Consumer,2018-04-20,Standard Class,North Carolina,High Profits,Profits,Profits,Paper,Paper,Rest,Paper
A&B,33.0,Office Supplies,Seattle,United States,Irene Maddox,20.0,1,2017-12-05,CA-2017-161389,98103.0,Fellowes,Fellowes PB200 Plastic Comb Binding Machine,133.0,3,West,"Binders, Bookcases, Chairs and 3 more",408.0,Consumer,2017-12-10,Standard Class,Washington,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
A&B,-180.0,Office Supplies,Fort Worth,United States,Harold Pawlan,80.0,1,2016-11-22,US-2016-118983,76106.0,Holmes,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-124.0,5,Central,"Accessories, Appliances, Art",69.0,Home Office,2016-11-26,Standard Class,Texas,High Profits,Profits,Profits,Appliances,Appliances,Rest,Appliances
A&B,-150.0,Office Supplies,Fort Worth,United States,Harold Pawlan,80.0,1,2016-11-22,US-2016-118983,76106.0,Storex,Storex DuraTech Recycled Plastic Frosted Binders,-4.0,3,Central,"Binders, Bookcases, Chairs and 3 more",3.0,Home Office,2016-11-26,Standard Class,Texas,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
Rest,2.0,Office Supplies,Madison,United States,Pete Kriz,0.0,1,2015-11-11,CA-2015-105893,53711.0,Other,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",13.0,6,Central,Storage,666.0,Consumer,2015-11-18,Standard Class,Wisconsin,High Profits,Profits,Profits,Storage,Storage,Rest,Storage
Rest,18.0,Office Supplies,West Jordan,United States,Alejandro Grove,0.0,1,2015-05-13,CA-2015-167164,84084.0,Fellowes,Fellowes Super Stor/Drawer,10.0,2,West,Storage,56.0,Consumer,2015-05-15,Second Class,Utah,High Profits,Profits,Profits,Storage,Storage,Rest,Storage
A&B,29.0,Office Supplies,San Francisco,United States,Zuschuss Donatelli,0.0,1,2015-08-27,CA-2015-143336,94109.0,Newell,Newell 341,2.0,2,West,"Accessories, Appliances, Art",9.0,Consumer,2015-09-01,Second Class,California,Less Profit,Profits,Profits,Art,Art,Rest,Art
Rest,7.0,Technology,San Francisco,United States,Zuschuss Donatelli,20.0,1,2015-08-27,CA-2015-143336,94109.0,Cisco,Cisco SPA 501G IP Phone,16.0,3,West,Phones,213.0,Consumer,2015-09-01,Second Class,California,High Profits,Profits,Profits,Phones,Phones,Rest,Phones
A&B,33.0,Office Supplies,San Francisco,United States,Zuschuss Donatelli,20.0,1,2015-08-27,CA-2015-143336,94109.0,Wilson Jones,"Wilson Jones Hanging View Binder, White, 1""",7.0,4,West,"Binders, Bookcases, Chairs and 3 more",23.0,Consumer,2015-09-01,Second Class,California,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
A&B,26.0,Office Supplies,Fremont,United States,Ken Black,0.0,1,2017-12-09,CA-2017-137330,68025.0,Newell,Newell 318,5.0,7,Central,"Accessories, Appliances, Art",19.0,Corporate,2017-12-13,Standard Class,Nebraska,Less Profit,Profits,Profits,Art,Art,Rest,Art
A&B,26.0,Office Supplies,Fremont,United States,Ken Black,0.0,1,2017-12-09,CA-2017-137330,68025.0,Acco,"Acco Six-Outlet Power Strip, 4' Cord Length",16.0,7,Central,"Accessories, Appliances, Art",60.0,Corporate,2017-12-13,Standard Class,Nebraska,High Profits,Profits,Profits,Appliances,Appliances,Rest,Appliances
CEF,-1.0,Furniture,Philadelphia,United States,Sandra Flanagan,30.0,1,2018-07-16,US-2018-156909,19140.0,Global,"Global Deluxe Stacking Chair, Gray",-1.0,2,East,"Binders, Bookcases, Chairs and 3 more",71.0,Consumer,2018-07-18,Second Class,Pennsylvania,High Profits,Profits,Profits,Chairs,Chairs,Rest,Chairs
Rest,23.0,Furniture,Orem,United States,Emily Burns,0.0,1,2016-09-25,CA-2016-106320,84057.0,Bretford,Bretford CR4500 Series Slim Rectangular Table,240.0,3,West,Tables,1045.0,Consumer,2016-09-30,Standard Class,Utah,Losses,Losses,Losses,"Bookcases, Supplies, Tables","Bookcases, Supplies, Tables","Bookcases, Supplies, Tables",Tables
A&B,36.0,Office Supplies,Los Angeles,United States,Eric Hoffmann,20.0,1,2017-01-16,CA-2017-121755,90049.0,Wilson Jones,Wilson Jones Active Use Binders,4.0,2,West,"Binders, Bookcases, Chairs and 3 more",12.0,Consumer,2017-01-20,Second Class,California,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
A&B,13.0,Technology,Los Angeles,United States,Eric Hoffmann,0.0,1,2017-01-16,CA-2017-121755,90049.0,Other,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,12.0,3,West,"Accessories, Appliances, Art",91.0,Consumer,2017-01-20,Second Class,California,High Profits,Profits,Profits,Accessories,Accessories,Rest,Accessories
A&B,-54.0,Furniture,Philadelphia,United States,Tracy Blumstein,50.0,1,2016-09-17,US-2016-150630,19140.0,Riverside,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",-1665.0,7,East,"Binders, Bookcases, Chairs and 3 more",3083.0,Consumer,2016-09-21,Standard Class,Pennsylvania,Losses,Losses,Losses,"Bookcases, Supplies, Tables","Bookcases, Supplies, Tables","Bookcases, Supplies, Tables",Bookcases
A&B,-73.0,Office Supplies,Philadelphia,United States,Tracy Blumstein,70.0,1,2016-09-17,US-2016-150630,19140.0,Avery,Avery Recycled Flexi-View Covers for Binding Systems,-7.0,2,East,"Binders, Bookcases, Chairs and 3 more",10.0,Consumer,2016-09-21,Standard Class,Pennsylvania,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
CEF,13.0,Furniture,Philadelphia,United States,Tracy Blumstein,20.0,1,2016-09-17,US-2016-150630,19140.0,Howard Miller,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",16.0,3,East,Furnishings,124.0,Consumer,2016-09-21,Standard Class,Pennsylvania,High Profits,Profits,Profits,Furnishings,Furnishings,Rest,Furnishings
CEF,34.0,Office Supplies,Philadelphia,United States,Tracy Blumstein,20.0,1,2016-09-17,US-2016-150630,19140.0,Poly,Poly String Tie Envelopes,1.0,2,East,"Binders, Bookcases, Chairs and 3 more",3.0,Consumer,2016-09-21,Standard Class,Pennsylvania,Less Profit,Profits,Profits,Envelopes,Envelopes,Rest,Envelopes
A&B,11.0,Office Supplies,Philadelphia,United States,Tracy Blumstein,20.0,1,2016-09-17,US-2016-150630,19140.0,Boston,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",10.0,6,East,"Accessories, Appliances, Art",86.0,Consumer,2016-09-21,Standard Class,Pennsylvania,Less Profit,Profits,Profits,Art,Art,Rest,Art
A&B,-83.0,Office Supplies,Philadelphia,United States,Tracy Blumstein,70.0,1,2016-09-17,US-2016-150630,19140.0,Acco,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-6.0,6,East,"Binders, Bookcases, Chairs and 3 more",7.0,Consumer,2016-09-21,Standard Class,Pennsylvania,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
A&B,23.0,Office Supplies,Philadelphia,United States,Tracy Blumstein,20.0,1,2016-09-17,US-2016-150630,19140.0,Other,Lumber Crayons,4.0,2,East,"Accessories, Appliances, Art",16.0,Consumer,2016-09-21,Standard Class,Pennsylvania,Less Profit,Profits,Profits,Art,Art,Rest,Art
Rest,34.0,Office Supplies,Houston,United States,Matt Abelman,20.0,1,2018-10-19,CA-2018-107727,77095.0,Easy-staple paper,Easy-staple paper,10.0,3,Central,Paper,29.0,Home Office,2018-10-23,Second Class,Texas,High Profits,Profits,Profits,Paper,Paper,Rest,Paper
Rest,11.0,Technology,Richardson,United States,Gene Hale,20.0,1,2017-12-08,CA-2017-117590,75080.0,GE,GE 30524EE4,123.0,7,Central,Phones,1098.0,Corporate,2017-12-10,First Class,Texas,High Profits,Profits,Profits,Phones,Phones,Rest,Phones
CEF,-78.0,Furniture,Richardson,United States,Gene Hale,60.0,1,2017-12-08,CA-2017-117590,75080.0,Electrix,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",-148.0,5,Central,Furnishings,191.0,Corporate,2017-12-10,First Class,Texas,High Profits,Profits,Profits,Furnishings,Furnishings,Rest,Furnishings
CEF,31.0,Office Supplies,Houston,United States,Steve Nguyen,20.0,1,2016-12-27,CA-2016-117415,77041.0,Other,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",35.0,9,Central,"Binders, Bookcases, Chairs and 3 more",113.0,Home Office,2016-12-31,Standard Class,Texas,Less Profit,Profits,Profits,Envelopes,Envelopes,Rest,Envelopes
A&B,-9.0,Furniture,Houston,United States,Steve Nguyen,32.0,1,2016-12-27,CA-2016-117415,77041.0,Atlantic,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",-47.0,3,Central,"Binders, Bookcases, Chairs and 3 more",532.0,Home Office,2016-12-31,Standard Class,Texas,Losses,Losses,Losses,"Bookcases, Supplies, Tables","Bookcases, Supplies, Tables","Bookcases, Supplies, Tables",Bookcases
CEF,-7.0,Furniture,Houston,United States,Steve Nguyen,30.0,1,2016-12-27,CA-2016-117415,77041.0,Global,"Global Fabric Manager's Chair, Dark Gray",-15.0,3,Central,"Binders, Bookcases, Chairs and 3 more",212.0,Home Office,2016-12-31,Standard Class,Texas,High Profits,Profits,Profits,Chairs,Chairs,Rest,Chairs
Rest,11.0,Technology,Houston,United States,Steve Nguyen,20.0,1,2016-12-27,CA-2016-117415,77041.0,Plantronics,Plantronics HL10 Handset Lifter,42.0,4,Central,Phones,371.0,Home Office,2016-12-31,Standard Class,Texas,High Profits,Profits,Profits,Phones,Phones,Rest,Phones
Rest,11.0,Technology,Naperville,United States,Linda Cazamias,20.0,1,2018-09-10,CA-2018-120999,60540.0,Panasonic,Panasonic Kx-TS550,17.0,4,Central,Phones,147.0,Corporate,2018-09-15,Standard Class,Illinois,High Profits,Profits,Profits,Phones,Phones,Rest,Phones
Rest,5.0,Office Supplies,Los Angeles,United States,Ruben Ausman,0.0,1,2017-07-17,CA-2017-101343,90049.0,Eldon,"Eldon Base for stackable storage shelf, platinum",4.0,2,West,Storage,78.0,Corporate,2017-07-22,Standard Class,California,High Profits,Profits,Profits,Storage,Storage,Rest,Storage
Rest,10.0,Office Supplies,Melbourne,United States,Erin Smith,20.0,1,2018-09-19,CA-2018-139619,32935.0,Advantus,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",10.0,2,South,Storage,96.0,Corporate,2018-09-23,Standard Class,Florida,High Profits,Profits,Profits,Storage,Storage,Rest,Storage
A&B,43.0,Technology,Eagan,United States,Odella Nelson,0.0,1,2017-03-11,CA-2017-118255,55122.0,Verbatim,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",20.0,2,Central,"Accessories, Appliances, Art",46.0,Corporate,2017-03-13,First Class,Minnesota,High Profits,Profits,Profits,Accessories,Accessories,Rest,Accessories
A&B,47.0,Office Supplies,Eagan,United States,Odella Nelson,0.0,1,2017-03-11,CA-2017-118255,55122.0,Wilson Jones,Wilson Jones Leather-Like Binders with DublLock Round Rings,8.0,2,Central,"Binders, Bookcases, Chairs and 3 more",17.0,Corporate,2017-03-13,First Class,Minnesota,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
Rest,4.0,Office Supplies,Westland,United States,Patrick O'Donnell,0.0,1,2015-10-20,CA-2015-146703,48185.0,Gould Plastics,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8.0,4,Central,Storage,212.0,Consumer,2015-10-25,Second Class,Michigan,High Profits,Profits,Profits,Storage,Storage,Rest,Storage
A&B,11.0,Technology,Dover,United States,Lena Hernandez,0.0,1,2017-06-20,CA-2017-169194,19901.0,Imation,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,5.0,3,East,"Accessories, Appliances, Art",45.0,Consumer,2017-06-25,Standard Class,Delaware,High Profits,Profits,Profits,Accessories,Accessories,Rest,Accessories
Rest,28.0,Technology,Dover,United States,Lena Hernandez,0.0,1,2017-06-20,CA-2017-169194,19901.0,Other,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6.0,2,East,Phones,22.0,Consumer,2017-06-25,Standard Class,Delaware,High Profits,Profits,Profits,Phones,Phones,Rest,Phones
A&B,47.0,Office Supplies,New Albany,United States,Darren Powers,0.0,1,2016-04-18,CA-2016-115742,47150.0,C-Line,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",18.0,6,Central,"Binders, Bookcases, Chairs and 3 more",38.0,Consumer,2016-04-22,Standard Class,Indiana,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
Rest,47.0,Office Supplies,New Albany,United States,Darren Powers,0.0,1,2016-04-18,CA-2016-115742,47150.0,Avery,Avery 485,35.0,6,Central,Labels,75.0,Consumer,2016-04-22,Standard Class,Indiana,Less Profit,Profits,Profits,Labels,Labels,Rest,Labels
CEF,48.0,Furniture,New Albany,United States,Darren Powers,0.0,1,2016-04-18,CA-2016-115742,47150.0,Other,Longer-Life Soft White Bulbs,3.0,2,Central,Furnishings,6.0,Consumer,2016-04-22,Standard Class,Indiana,High Profits,Profits,Profits,Furnishings,Furnishings,Rest,Furnishings
CEF,19.0,Furniture,New Albany,United States,Darren Powers,0.0,1,2016-04-18,CA-2016-115742,47150.0,Global,"Global Leather Task Chair, Black",17.0,1,Central,"Binders, Bookcases, Chairs and 3 more",90.0,Consumer,2016-04-22,Standard Class,Indiana,High Profits,Profits,Profits,Chairs,Chairs,Rest,Chairs
CEF,41.0,Office Supplies,New York City,United States,Janet Molinari,0.0,1,2017-12-11,CA-2017-105816,10024.0,Advantus,Advantus Push Pins,6.0,7,East,"Binders, Bookcases, Chairs and 3 more",15.0,Corporate,2017-12-17,Standard Class,New York,Less Profit,Profits,Profits,Fasteners,Fasteners,Rest,Fasteners
Rest,29.0,Technology,New York City,United States,Janet Molinari,0.0,1,2017-12-11,CA-2017-105816,10024.0,AT&T,AT&T CL83451 4-Handset Telephone,299.0,5,East,Phones,1030.0,Corporate,2017-12-17,Standard Class,New York,High Profits,Profits,Profits,Phones,Phones,Rest,Phones
Rest,25.0,Office Supplies,Troy,United States,Ted Butterfield,0.0,1,2017-06-17,CA-2017-111682,12180.0,Other,Home/Office Personal File Carts,52.0,6,East,Storage,209.0,Consumer,2017-06-18,First Class,New York,High Profits,Profits,Profits,Storage,Storage,Rest,Storage
Rest,48.0,Office Supplies,Troy,United States,Ted Butterfield,0.0,1,2017-06-17,CA-2017-111682,12180.0,Xerox,Xerox 232,16.0,5,East,Paper,32.0,Consumer,2017-06-18,First Class,New York,High Profits,Profits,Profits,Paper,Paper,Rest,Paper
CEF,2.0,Furniture,Troy,United States,Ted Butterfield,10.0,1,2017-06-17,CA-2017-111682,12180.0,Novimex,Novimex Turbo Task Chair,7.0,5,East,"Binders, Bookcases, Chairs and 3 more",319.0,Consumer,2017-06-18,First Class,New York,High Profits,Profits,Profits,Chairs,Chairs,Rest,Chairs
Rest,48.0,Office Supplies,Troy,United States,Ted Butterfield,0.0,1,2017-06-17,CA-2017-111682,12180.0,Array,"Array Parchment Paper, Assorted Colors",7.0,2,East,Paper,15.0,Consumer,2017-06-18,First Class,New York,High Profits,Profits,Profits,Paper,Paper,Rest,Paper
A&B,11.0,Technology,Troy,United States,Ted Butterfield,0.0,1,2017-06-17,CA-2017-111682,12180.0,Imation,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3.0,2,East,"Accessories, Appliances, Art",30.0,Consumer,2017-06-18,First Class,New York,High Profits,Profits,Profits,Accessories,Accessories,Rest,Accessories
A&B,34.0,Office Supplies,Troy,United States,Ted Butterfield,20.0,1,2017-06-17,CA-2017-111682,12180.0,Other,Plastic Binding Combs,16.0,4,East,"Binders, Bookcases, Chairs and 3 more",48.0,Consumer,2017-06-18,First Class,New York,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
A&B,50.0,Office Supplies,Troy,United States,Ted Butterfield,0.0,1,2017-06-17,CA-2017-111682,12180.0,Prang,Prang Dustless Chalk Sticks,1.0,1,East,"Accessories, Appliances, Art",2.0,Consumer,2017-06-18,First Class,New York,Less Profit,Profits,Profits,Art,Art,Rest,Art
A&B,44.0,Technology,Los Angeles,United States,Kunst Miller,0.0,1,2016-11-24,CA-2016-135545,90004.0,Verbatim,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6.0,2,West,"Accessories, Appliances, Art",14.0,Consumer,2016-11-30,Standard Class,California,High Profits,Profits,Profits,Accessories,Accessories,Rest,Accessories
A&B,36.0,Office Supplies,Los Angeles,United States,Kunst Miller,20.0,1,2016-11-24,CA-2016-135545,90004.0,Acco,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",9.0,6,West,"Binders, Bookcases, Chairs and 3 more",26.0,Consumer,2016-11-30,Standard Class,California,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
Rest,47.0,Office Supplies,Los Angeles,United States,Kunst Miller,0.0,1,2016-11-24,CA-2016-135545,90004.0,Xerox,Xerox 1943,69.0,3,West,Paper,147.0,Consumer,2016-11-30,Standard Class,California,High Profits,Profits,Profits,Paper,Paper,Rest,Paper
CEF,28.0,Furniture,Los Angeles,United States,Kunst Miller,0.0,1,2016-11-24,CA-2016-135545,90004.0,Luxo,Luxo Economy Swing Arm Lamp,22.0,4,West,Furnishings,80.0,Consumer,2016-11-30,Standard Class,California,High Profits,Profits,Profits,Furnishings,Furnishings,Rest,Furnishings
CEF,-7.0,Furniture,Chicago,United States,Paul Stevenson,30.0,1,2016-04-30,US-2016-164175,60610.0,Global,"Global Value Mid-Back Manager's Chair, Gray",-15.0,5,Central,"Binders, Bookcases, Chairs and 3 more",213.0,Home Office,2016-05-05,Standard Class,Illinois,High Profits,Profits,Profits,Chairs,Chairs,Rest,Chairs
A&B,10.0,Office Supplies,Gilbert,United States,Brendan Sweed,20.0,1,2015-12-05,CA-2015-106376,85234.0,Hunt,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111.0,8,West,"Accessories, Appliances, Art",1113.0,Corporate,2015-12-10,Standard Class,Arizona,Less Profit,Profits,Profits,Art,Art,Rest,Art
Rest,38.0,Technology,Gilbert,United States,Brendan Sweed,20.0,1,2015-12-05,CA-2015-106376,85234.0,Other,netTALK DUO VoIP Telephone Service,63.0,4,West,Phones,168.0,Corporate,2015-12-10,Standard Class,Arizona,High Profits,Profits,Profits,Phones,Phones,Rest,Phones
Rest,47.0,Office Supplies,Springfield,United States,Karen Daniels,0.0,1,2017-06-04,CA-2017-119823,22153.0,Other,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",36.0,2,South,Paper,76.0,Consumer,2017-06-06,First Class,Virginia,High Profits,Profits,Profits,Paper,Paper,Rest,Paper
A&B,38.0,Office Supplies,New York City,United States,Henry MacAllister,20.0,1,2017-09-18,CA-2017-106075,10009.0,Avery,Avery Binding System Hidden Tab Executive Style Index Sets,2.0,1,East,"Binders, Bookcases, Chairs and 3 more",5.0,Consumer,2017-09-23,Standard Class,New York,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
Rest,46.0,Office Supplies,Jackson,United States,Tracy Blumstein,0.0,1,2018-09-14,CA-2018-114440,49201.0,Other,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",9.0,3,Central,Paper,19.0,Consumer,2018-09-17,Second Class,Michigan,High Profits,Profits,Profits,Paper,Paper,Rest,Paper
CEF,-14.0,Furniture,Memphis,United States,Joel Eaton,20.0,1,2016-04-26,US-2016-134026,38109.0,Other,High-Back Leather Manager's Chair,-114.0,8,South,"Binders, Bookcases, Chairs and 3 more",832.0,Consumer,2016-05-02,Standard Class,Tennessee,High Profits,Profits,Profits,Chairs,Chairs,Rest,Chairs
CEF,1.0,Furniture,Memphis,United States,Joel Eaton,20.0,1,2016-04-26,US-2016-134026,38109.0,Tenex,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1.0,2,South,Furnishings,97.0,Consumer,2016-05-02,Standard Class,Tennessee,High Profits,Profits,Profits,Furnishings,Furnishings,Rest,Furnishings
Rest,-25.0,Office Supplies,Memphis,United States,Joel Eaton,20.0,1,2016-04-26,US-2016-134026,38109.0,SAFCO,Safco Industrial Wire Shelving System,-18.0,1,South,Storage,73.0,Consumer,2016-05-02,Standard Class,Tennessee,High Profits,Profits,Profits,Storage,Storage,Rest,Storage
A&B,-155.0,Office Supplies,Houston,United States,Ken Brennan,80.0,1,2018-12-09,US-2018-118038,77041.0,Other,Economy Binders,-2.0,3,Central,"Binders, Bookcases, Chairs and 3 more",1.0,Corporate,2018-12-11,First Class,Texas,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
CEF,-60.0,Furniture,Houston,United States,Ken Brennan,60.0,1,2018-12-09,US-2018-118038,77041.0,Other,"6"" Cubicle Wall Clock, Black",-6.0,3,Central,Furnishings,10.0,Corporate,2018-12-11,First Class,Texas,High Profits,Profits,Profits,Furnishings,Furnishings,Rest,Furnishings
Rest,10.0,Office Supplies,Houston,United States,Ken Brennan,20.0,1,2018-12-09,US-2018-118038,77041.0,Other,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3.0,3,Central,Storage,27.0,Corporate,2018-12-11,First Class,Texas,High Profits,Profits,Profits,Storage,Storage,Rest,Storage
CEF,-75.0,Furniture,Houston,United States,Joel Eaton,60.0,1,2015-11-26,US-2015-147606,77070.0,Eldon,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",-14.0,5,Central,Furnishings,19.0,Consumer,2015-12-01,Second Class,Texas,High Profits,Profits,Profits,Furnishings,Furnishings,Rest,Furnishings
A&B,27.0,Office Supplies,Decatur,United States,Stewart Carmichael,0.0,1,2017-06-12,CA-2017-127208,35601.0,Other,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",56.0,1,South,"Accessories, Appliances, Art",208.0,Corporate,2017-06-15,First Class,Alabama,High Profits,Profits,Profits,Appliances,Appliances,Rest,Appliances
A&B,48.0,Office Supplies,Decatur,United States,Stewart Carmichael,0.0,1,2017-06-12,CA-2017-127208,35601.0,Avery,Avery Heavy-Duty EZD  Binder With Locking Rings,8.0,3,South,"Binders, Bookcases, Chairs and 3 more",17.0,Corporate,2017-06-15,First Class,Alabama,High Profits,Profits,Profits,Binders,Binders,Rest,Binders
A&B,28.0,Office Supplies,San Francisco,United States,Duane Noonan,0.0,1,2015-10-12,CA-2015-139451,94122.0,Other,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.0,5,West,"Accessories, Appliances, Art",15.0,Consumer,2015-10-16,Standard Class,California,Less Profit,Profits,Profits,Art,Art,Rest,Art
